,Unnamed: 0,有色板块开盘价,有色板块等权平均市场收益率,有色板块日收益率,有色板块日无风险收益率,有色板块日震幅,有色板块市净率,有色板块市现率,有色板块成交量,有色板块换手率
Unnamed: 0,1.0,0.44188199979381093,0.0008423796918828871,0.09261061414611554,0.2919235545401118,0.5528971847966218,0.25654989816251056,0.8593415253811415,0.6191548168755953,0.47766334829256124
有色板块开盘价,0.44188199979381093,1.0,0.014142023366770496,0.10618688199842223,0.1614151365178896,0.028550617072091198,0.33558200475580213,0.21064279863083535,0.13866665180090962,0.09794316417698386
有色板块等权平均市场收益率,0.0008423796918828871,0.014142023366770496,1.0,0.21400062006652737,0.05484656007619303,0.04062021986356519,0.010790272590873352,0.006386871257904422,0.0007579816147065238,0.03275276397321155
有色板块日收益率,0.09261061414611554,0.10618688199842223,0.21400062006652737,1.0,0.020222320600864215,0.22137888889557378,0.008553122323360618,0.06394062007458437,0.08923708978432188,0.21157006518702293
有色板块日无风险收益率,0.2919235545401118,0.1614151365178896,0.05484656007619303,0.020222320600864215,1.0,0.21408047727829627,0.02155890630059335,0.21199140977522044,0.14162456625662906,0.02063501977154478
有色板块日震幅,0.5528971847966218,0.028550617072091198,0.04062021986356519,0.22137888889557378,0.21408047727829627,1.0,0.2620994136885132,0.5073850609371446,0.4210605063071274,0.6753075430416764
有色板块市净率,0.25654989816251056,0.33558200475580213,0.010790272590873352,0.008553122323360618,0.02155890630059335,0.2620994136885132,1.0,0.5579724087559889,0.07734236641682565,0.12609957544819345
有色板块市现率,0.8593415253811415,0.21064279863083535,0.006386871257904422,0.06394062007458437,0.21199140977522044,0.5073850609371446,0.5579724087559889,1.0,0.44625570342754756,0.3806162208647849
有色板块成交量,0.6191548168755953,0.13866665180090962,0.0007579816147065238,0.08923708978432188,0.14162456625662906,0.4210605063071274,0.07734236641682565,0.44625570342754756,1.0,0.37344541639479784
有色板块换手率,0.47766334829256124,0.09794316417698386,0.03275276397321155,0.21157006518702293,0.02063501977154478,0.6753075430416764,0.12609957544819345,0.3806162208647849,0.37344541639479784,1.0
